groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
1534,XY - Roaring Skies,ROS,False,2015-05-06T00:00:00,2023-10-21T19:57:49.783,3
1536,XY Trainer Kit: Latias & Latios,PR,False,2015-04-29T00:00:00,2023-07-20T18:09:45.777,3
1528,Jumbo Cards,PR,False,2015-04-01T00:00:00,2023-10-11T14:09:35.397,3
1525,Double Crisis,DCR,False,2015-03-25T00:00:00,2023-11-03T04:58:24.817,3
1509,XY - Primal Clash,PRC,False,2015-02-04T00:00:00,2023-11-10T08:32:22.083,3
1533,XY Trainer Kit: Bisharp & Wigglytuff,PR,False,2014-11-14T00:00:00,2023-03-31T16:31:12.98,3
1494,XY - Phantom Forces,PHF,False,2014-11-05T00:00:00,2023-10-21T14:49:52.527,3
1481,XY - Furious Fists,FFI,False,2014-08-13T00:00:00,2023-10-23T09:27:00.99,3
1692,McDonald's Promos 2014,MCD14,False,2014-05-23T00:00:00,2022-12-13T13:31:46.887,3
1464,XY - Flashfire,FLF,False,2014-05-07T00:00:00,2023-10-30T03:24:49.837,3
1532,XY Trainer Kit: Sylveon & Noivern,PR,False,2014-03-12T00:00:00,2023-05-08T12:43:20.773,3
1387,XY Base Set,XY,False,2014-02-05T00:00:00,2023-10-25T19:13:12.647,3
1451,XY Promos,PR,False,2013-12-16T00:00:00,2023-09-20T07:25:01.25,3
1522,Kalos Starter Set,KSS,False,2013-11-08T00:00:00,2022-12-14T16:18:51.623,3
1409,Legendary Treasures,LTR,False,2013-11-06T00:00:00,2023-11-04T04:50:49.953,3
1465,Legendary Treasures: Radiant Collection,LTR,False,2013-11-06T00:00:00,2023-10-21T19:59:12.053,3
1370,Plasma Blast,PLB,False,2013-08-14T00:00:00,2023-09-20T07:24:25.543,3
1382,Plasma Freeze,PLF,False,2013-05-08T00:00:00,2023-10-13T08:17:48.81,3
1413,Plasma Storm,PLS,False,2013-02-06T00:00:00,2023-10-31T04:21:38.18,3
1408,Boundaries Crossed,BCR,False,2012-11-07T00:00:00,2023-08-29T10:13:15.497,3
1426,Dragon Vault,DRV,False,2012-10-05T00:00:00,2023-08-29T12:38:19.02,3
1394,Dragons Exalted,DRX,False,2012-08-15T00:00:00,2023-10-31T14:50:13.327,3
1427,McDonald's Promos 2012,,False,2012-06-15T00:00:00,2022-11-17T21:11:14.983,3
1386,Dark Explorers,DEX,False,2012-05-09T00:00:00,2023-09-08T13:35:08.317,3
1412,Next Destinies,NXD,False,2012-02-08T00:00:00,2023-10-15T03:48:57.44,3
1385,Noble Victories,NVI,False,2011-11-16T00:00:00,2023-10-18T12:20:17.317,3
1538,BW Trainer Kit: Excadrill & Zoroark,BLW,False,2011-09-05T00:00:00,2022-12-27T21:03:44,3
1424,Emerging Powers,EPO,False,2011-08-31T00:00:00,2023-07-08T15:12:47.037,3
1401,McDonald's Promos 2011,,False,2011-06-17T00:00:00,2022-11-26T17:41:15.467,3
1400,Black and White,BLW,False,2011-04-25T00:00:00,2023-11-02T09:48:05.817,3
1407,Black and White Promos,PR,False,2011-04-25T00:00:00,2023-11-10T16:15:07.347,3
1415,Call of Legends,CL,False,2011-02-09T00:00:00,2023-10-28T16:15:06.32,3
2332,Professor Program Promos,PPP,True,2011-01-07T00:00:00,2023-07-28T15:58:57.707,3
1381,Triumphant,TM,False,2010-11-03T00:00:00,2023-07-15T15:44:30.057,3
1403,Undaunted,UD,False,2010-08-18T00:00:00,2023-10-14T17:10:00.193,3
2205,Pikachu World Collection Promos,PWCP,True,2010-07-08T00:00:00,2021-12-10T14:04:09.17,3
